from,to,distance
SACR,SUNN,100
SACR,JGI,100
SACR,PNWG,100
SACR,DENV,100
SACR,CHIC,100
SACR,SNLA,100
SACR,PNGW,100
SACR,SNLL,100
SUNN,SACR,100
SUNN,LLNL,100
SUNN,LSVN,100
SUNN,SLAC,100
SUNN,ELPA,100
SUNN,NERSC,100
LOND,AMST,100
NEWY,BNL,100
NEWY,AOFA,100
NEWY,LOND.1,100
JGI,SACR,100
JGI,LOND,100
HOUS,PANTEX,100
HOUS,KANS,100
HOUS,NASH,100
HOUS,ELPA,100
PANTEX,HOUS,100
BOIS,PNWG,100
BOIS,DENV,100
PNWG,BOIS,100
PNWG,DENV,100
PNWG,LSVN,100
DENV,SACR,100
DENV,BOIS,100
DENV,PNWG,100
DENV,NREL,100
DENV,LSVN,100
DENV,KANS,100
STAR,CHIC,100
STAR,BOST,100
STAR,AOFA,100
STAR,ANL,100
STAR,FNAL,100
CHIC,SACR,100
CHIC,STAR,100
CHIC,WASH,100
CHIC,KANS,100
CHIC,NASH,100
CHIC,EQX-CHI,100
WASH,CHIC,100
WASH,PPPL,100
WASH,NASH,100
WASH,EQX-ASH,100
WASH,AOFA,100
LLNL,SUNN,100
LSVN,SUNN,100
LSVN,DENV,100
KANS,HOUS,100
KANS,DENV,100
KANS,CHIC,100
PPPL,WASH,100
NASH,HOUS,100
NASH,CHIC,100
NASH,WASH,100
ALBQ,DENV,100
ALBQ,ELPA,100
SNLA,ALBQ,100
EQX-ASH,WASH,100
EQX-ASH,EQX-CHI,100
SLAC,SUNN,100
ELPA,SUNN,100
ELPA,HOUS,100
ATLA,CHIC,100
ATLA,WASH,100
ATLA,NASH,100
ATLA,ORNL,100
ATLA,SRS,100
EQX-CHI,CHIC,100
EQX-CHI,EQX-ASH,100
NERSC,SUNN,100
AMST,LOND,100
AMST,BOST,100
AMST,CERN-513,100
AMST,LOND.1,100
BOST,NEWY,100
BOST,STAR,100
BOST,AMST,100
BNL,NEWY,100
PNGW,SACR,100
ORNL,ATLA,100
AOFA,LOND,100
AOFA,NEWY,100
AOFA,STAR,100
AOFA,CHIC,100
AOFA,WASH,100
AOFA,LOND.1,100
ANL,STAR,100
CERN-513,CHIC,100
CERN-513,WASH,100
CERN-513,AMST,100
SNLL,SACR,100
FNAL,STAR,100