from,to,distance
DENV,DENV,0.0
DENV,WASH,3.0
DENV,SUNN,2.0
DENV,STAR,3.0
DENV,CHIC,2.0
DENV,SACR,1.0
DENV,AOFA,4.0
DENV,HOUS,2.0
DENV,NASH,3.0
DENV,NEWY,5.0
DENV,ALBQ,3.0
DENV,LOND,3.0
DENV,KANS,1.0
DENV,BOST,4.0
DENV,ELPA,3.0
DENV,BOIS,1.0
DENV,LSVN,1.0
DENV,PNWG,1.0
DENV,AMST,4.0
DENV,JGI,2.0
DENV,LLNL,3.0
DENV,NREL,1.0
DENV,BNL,6.0
DENV,SNLL,2.0
DENV,PPPL,4.0
DENV,ANL,4.0
DENV,SNLA,2.0
DENV,FNAL,4.0
DENV,SLAC,3.0
DENV,NERSC,3.0
DENV,PANTEX,3.0
DENV,CERN-513,5.0
WASH,DENV,3.0
WASH,WASH,0.0
WASH,SUNN,3.0
WASH,STAR,2.0
WASH,CHIC,1.0
WASH,SACR,2.0
WASH,AOFA,1.0
WASH,HOUS,2.0
WASH,NASH,1.0
WASH,NEWY,2.0
WASH,ALBQ,4.0
WASH,LOND,2.0
WASH,KANS,2.0
WASH,BOST,3.0
WASH,ELPA,3.0
WASH,BOIS,4.0
WASH,LSVN,4.0
WASH,PNWG,3.0
WASH,AMST,3.0
WASH,JGI,3.0
WASH,LLNL,4.0
WASH,NREL,4.0
WASH,BNL,3.0
WASH,SNLL,3.0
WASH,PPPL,1.0
WASH,ANL,3.0
WASH,SNLA,3.0
WASH,FNAL,3.0
WASH,SLAC,4.0
WASH,NERSC,4.0
WASH,PANTEX,3.0
WASH,CERN-513,4.0
SUNN,DENV,2.0
SUNN,WASH,3.0
SUNN,SUNN,0.0
SUNN,STAR,3.0
SUNN,CHIC,2.0
SUNN,SACR,1.0
SUNN,AOFA,4.0
SUNN,HOUS,2.0
SUNN,NASH,3.0
SUNN,NEWY,5.0
SUNN,ALBQ,3.0
SUNN,LOND,3.0
SUNN,KANS,3.0
SUNN,BOST,4.0
SUNN,ELPA,1.0
SUNN,BOIS,3.0
SUNN,LSVN,1.0
SUNN,PNWG,2.0
SUNN,AMST,4.0
SUNN,JGI,2.0
SUNN,LLNL,1.0
SUNN,NREL,3.0
SUNN,BNL,6.0
SUNN,SNLL,2.0
SUNN,PPPL,4.0
SUNN,ANL,4.0
SUNN,SNLA,2.0
SUNN,FNAL,4.0
SUNN,SLAC,1.0
SUNN,NERSC,1.0
SUNN,PANTEX,3.0
SUNN,CERN-513,5.0
STAR,DENV,3.0
STAR,WASH,2.0
STAR,SUNN,3.0
STAR,STAR,0.0
STAR,CHIC,1.0
STAR,SACR,2.0
STAR,AOFA,1.0
STAR,HOUS,3.0
STAR,NASH,2.0
STAR,NEWY,2.0
STAR,ALBQ,4.0
STAR,LOND,2.0
STAR,KANS,2.0
STAR,BOST,1.0
STAR,ELPA,4.0
STAR,BOIS,4.0
STAR,LSVN,4.0
STAR,PNWG,3.0
STAR,AMST,2.0
STAR,JGI,3.0
STAR,LLNL,4.0
STAR,NREL,4.0
STAR,BNL,3.0
STAR,SNLL,3.0
STAR,PPPL,3.0
STAR,ANL,1.0
STAR,SNLA,3.0
STAR,FNAL,1.0
STAR,SLAC,4.0
STAR,NERSC,4.0
STAR,PANTEX,4.0
STAR,CERN-513,3.0
CHIC,DENV,2.0
CHIC,WASH,1.0
CHIC,SUNN,2.0
CHIC,STAR,1.0
CHIC,CHIC,0.0
CHIC,SACR,1.0
CHIC,AOFA,2.0
CHIC,HOUS,2.0
CHIC,NASH,1.0
CHIC,NEWY,3.0
CHIC,ALBQ,3.0
CHIC,LOND,3.0
CHIC,KANS,1.0
CHIC,BOST,2.0
CHIC,ELPA,3.0
CHIC,BOIS,3.0
CHIC,LSVN,3.0
CHIC,PNWG,2.0
CHIC,AMST,3.0
CHIC,JGI,2.0
CHIC,LLNL,3.0
CHIC,NREL,3.0
CHIC,BNL,4.0
CHIC,SNLL,2.0
CHIC,PPPL,2.0
CHIC,ANL,2.0
CHIC,SNLA,2.0
CHIC,FNAL,2.0
CHIC,SLAC,3.0
CHIC,NERSC,3.0
CHIC,PANTEX,3.0
CHIC,CERN-513,4.0
SACR,DENV,1.0
SACR,WASH,2.0
SACR,SUNN,1.0
SACR,STAR,2.0
SACR,CHIC,1.0
SACR,SACR,0.0
SACR,AOFA,3.0
SACR,HOUS,3.0
SACR,NASH,2.0
SACR,NEWY,4.0
SACR,ALBQ,2.0
SACR,LOND,2.0
SACR,KANS,2.0
SACR,BOST,3.0
SACR,ELPA,2.0
SACR,BOIS,2.0
SACR,LSVN,2.0
SACR,PNWG,1.0
SACR,AMST,3.0
SACR,JGI,1.0
SACR,LLNL,2.0
SACR,NREL,2.0
SACR,BNL,5.0
SACR,SNLL,1.0
SACR,PPPL,3.0
SACR,ANL,3.0
SACR,SNLA,1.0
SACR,FNAL,3.0
SACR,SLAC,2.0
SACR,NERSC,2.0
SACR,PANTEX,4.0
SACR,CERN-513,4.0
AOFA,DENV,3.0
AOFA,WASH,1.0
AOFA,SUNN,3.0
AOFA,STAR,1.0
AOFA,CHIC,1.0
AOFA,SACR,2.0
AOFA,AOFA,0.0
AOFA,HOUS,3.0
AOFA,NASH,2.0
AOFA,NEWY,1.0
AOFA,ALBQ,4.0
AOFA,LOND,1.0
AOFA,KANS,2.0
AOFA,BOST,2.0
AOFA,ELPA,4.0
AOFA,BOIS,4.0
AOFA,LSVN,4.0
AOFA,PNWG,3.0
AOFA,AMST,2.0
AOFA,JGI,3.0
AOFA,LLNL,4.0
AOFA,NREL,4.0
AOFA,BNL,2.0
AOFA,SNLL,3.0
AOFA,PPPL,2.0
AOFA,ANL,2.0
AOFA,SNLA,3.0
AOFA,FNAL,2.0
AOFA,SLAC,4.0
AOFA,NERSC,4.0
AOFA,PANTEX,4.0
AOFA,CERN-513,3.0
HOUS,DENV,2.0
HOUS,WASH,2.0
HOUS,SUNN,2.0
HOUS,STAR,3.0
HOUS,CHIC,2.0
HOUS,SACR,3.0
HOUS,AOFA,3.0
HOUS,HOUS,0.0
HOUS,NASH,1.0
HOUS,NEWY,4.0
HOUS,ALBQ,5.0
HOUS,LOND,4.0
HOUS,KANS,1.0
HOUS,BOST,4.0
HOUS,ELPA,1.0
HOUS,BOIS,3.0
HOUS,LSVN,3.0
HOUS,PNWG,3.0
HOUS,AMST,5.0
HOUS,JGI,4.0
HOUS,LLNL,3.0
HOUS,NREL,3.0
HOUS,BNL,5.0
HOUS,SNLL,4.0
HOUS,PPPL,3.0
HOUS,ANL,4.0
HOUS,SNLA,4.0
HOUS,FNAL,4.0
HOUS,SLAC,3.0
HOUS,NERSC,3.0
HOUS,PANTEX,1.0
HOUS,CERN-513,6.0
NASH,DENV,3.0
NASH,WASH,1.0
NASH,SUNN,3.0
NASH,STAR,2.0
NASH,CHIC,1.0
NASH,SACR,2.0
NASH,AOFA,2.0
NASH,HOUS,1.0
NASH,NASH,0.0
NASH,NEWY,3.0
NASH,ALBQ,4.0
NASH,LOND,3.0
NASH,KANS,2.0
NASH,BOST,3.0
NASH,ELPA,2.0
NASH,BOIS,4.0
NASH,LSVN,4.0
NASH,PNWG,3.0
NASH,AMST,4.0
NASH,JGI,3.0
NASH,LLNL,4.0
NASH,NREL,4.0
NASH,BNL,4.0
NASH,SNLL,3.0
NASH,PPPL,2.0
NASH,ANL,3.0
NASH,SNLA,3.0
NASH,FNAL,3.0
NASH,SLAC,4.0
NASH,NERSC,4.0
NASH,PANTEX,2.0
NASH,CERN-513,5.0
NEWY,DENV,4.0
NEWY,WASH,2.0
NEWY,SUNN,4.0
NEWY,STAR,2.0
NEWY,CHIC,2.0
NEWY,SACR,3.0
NEWY,AOFA,1.0
NEWY,HOUS,4.0
NEWY,NASH,3.0
NEWY,NEWY,0.0
NEWY,ALBQ,5.0
NEWY,LOND,2.0
NEWY,KANS,3.0
NEWY,BOST,3.0
NEWY,ELPA,5.0
NEWY,BOIS,5.0
NEWY,LSVN,5.0
NEWY,PNWG,4.0
NEWY,AMST,3.0
NEWY,JGI,4.0
NEWY,LLNL,5.0
NEWY,NREL,5.0
NEWY,BNL,1.0
NEWY,SNLL,4.0
NEWY,PPPL,3.0
NEWY,ANL,3.0
NEWY,SNLA,4.0
NEWY,FNAL,3.0
NEWY,SLAC,5.0
NEWY,NERSC,5.0
NEWY,PANTEX,5.0
NEWY,CERN-513,4.0
ATLA,DENV,3.0
ATLA,WASH,1.0
ATLA,SUNN,3.0
ATLA,STAR,2.0
ATLA,CHIC,1.0
ATLA,SACR,2.0
ATLA,AOFA,2.0
ATLA,HOUS,2.0
ATLA,NASH,1.0
ATLA,NEWY,3.0
ATLA,ATLA,0.0
ATLA,ALBQ,4.0
ATLA,LOND,3.0
ATLA,KANS,2.0
ATLA,BOST,3.0
ATLA,ELPA,3.0
ATLA,BOIS,4.0
ATLA,LSVN,4.0
ATLA,PNWG,3.0
ATLA,AMST,4.0
ATLA,JGI,3.0
ATLA,LLNL,4.0
ATLA,NREL,4.0
ATLA,BNL,4.0
ATLA,SNLL,3.0
ATLA,PPPL,2.0
ATLA,SRS,1.0
ATLA,ANL,3.0
ATLA,SNLA,3.0
ATLA,ORNL,1.0
ATLA,FNAL,3.0
ATLA,SLAC,4.0
ATLA,NERSC,4.0
ATLA,PANTEX,3.0
ATLA,CERN-513,5.0
ALBQ,DENV,1.0
ALBQ,WASH,4.0
ALBQ,SUNN,2.0
ALBQ,STAR,4.0
ALBQ,CHIC,3.0
ALBQ,SACR,2.0
ALBQ,AOFA,5.0
ALBQ,HOUS,2.0
ALBQ,NASH,3.0
ALBQ,NEWY,6.0
ALBQ,ALBQ,0.0
ALBQ,LOND,4.0
ALBQ,KANS,2.0
ALBQ,BOST,5.0
ALBQ,ELPA,1.0
ALBQ,BOIS,2.0
ALBQ,LSVN,2.0
ALBQ,PNWG,2.0
ALBQ,AMST,5.0
ALBQ,JGI,3.0
ALBQ,LLNL,3.0
ALBQ,NREL,2.0
ALBQ,BNL,7.0
ALBQ,SNLL,3.0
ALBQ,PPPL,5.0
ALBQ,ANL,5.0
ALBQ,SNLA,3.0
ALBQ,FNAL,5.0
ALBQ,SLAC,3.0
ALBQ,NERSC,3.0
ALBQ,PANTEX,3.0
ALBQ,CERN-513,6.0
LOND,DENV,5.0
LOND,WASH,3.0
LOND,SUNN,5.0
LOND,STAR,3.0
LOND,CHIC,3.0
LOND,SACR,4.0
LOND,AOFA,4.0
LOND,HOUS,5.0
LOND,NASH,4.0
LOND,NEWY,3.0
LOND,ALBQ,6.0
LOND,LOND,0.0
LOND,KANS,4.0
LOND,BOST,2.0
LOND,ELPA,6.0
LOND,BOIS,6.0
LOND,LSVN,6.0
LOND,PNWG,5.0
LOND,AMST,1.0
LOND,JGI,5.0
LOND,LLNL,6.0
LOND,NREL,6.0
LOND,BNL,4.0
LOND,SNLL,5.0
LOND,PPPL,4.0
LOND,ANL,4.0
LOND,SNLA,5.0
LOND,FNAL,4.0
LOND,SLAC,6.0
LOND,NERSC,6.0
LOND,PANTEX,6.0
LOND,CERN-513,2.0
KANS,DENV,1.0
KANS,WASH,2.0
KANS,SUNN,3.0
KANS,STAR,2.0
KANS,CHIC,1.0
KANS,SACR,2.0
KANS,AOFA,3.0
KANS,HOUS,1.0
KANS,NASH,2.0
KANS,NEWY,4.0
KANS,ALBQ,4.0
KANS,LOND,4.0
KANS,KANS,0.0
KANS,BOST,3.0
KANS,ELPA,2.0
KANS,BOIS,2.0
KANS,LSVN,2.0
KANS,PNWG,2.0
KANS,AMST,4.0
KANS,JGI,3.0
KANS,LLNL,4.0
KANS,NREL,2.0
KANS,BNL,5.0
KANS,SNLL,3.0
KANS,PPPL,3.0
KANS,ANL,3.0
KANS,SNLA,3.0
KANS,FNAL,3.0
KANS,SLAC,4.0
KANS,NERSC,4.0
KANS,PANTEX,2.0
KANS,CERN-513,5.0
BOST,DENV,4.0
BOST,WASH,3.0
BOST,SUNN,4.0
BOST,STAR,1.0
BOST,CHIC,2.0
BOST,SACR,3.0
BOST,AOFA,2.0
BOST,HOUS,4.0
BOST,NASH,3.0
BOST,NEWY,1.0
BOST,ALBQ,5.0
BOST,LOND,2.0
BOST,KANS,3.0
BOST,BOST,0.0
BOST,ELPA,5.0
BOST,BOIS,5.0
BOST,LSVN,5.0
BOST,PNWG,4.0
BOST,AMST,1.0
BOST,JGI,4.0
BOST,LLNL,5.0
BOST,NREL,5.0
BOST,BNL,2.0
BOST,SNLL,4.0
BOST,PPPL,4.0
BOST,ANL,2.0
BOST,SNLA,4.0
BOST,FNAL,2.0
BOST,SLAC,5.0
BOST,NERSC,5.0
BOST,PANTEX,5.0
BOST,CERN-513,2.0
ELPA,DENV,3.0
ELPA,WASH,3.0
ELPA,SUNN,1.0
ELPA,STAR,4.0
ELPA,CHIC,3.0
ELPA,SACR,2.0
ELPA,AOFA,4.0
ELPA,HOUS,1.0
ELPA,NASH,2.0
ELPA,NEWY,5.0
ELPA,ALBQ,4.0
ELPA,LOND,4.0
ELPA,KANS,2.0
ELPA,BOST,5.0
ELPA,ELPA,0.0
ELPA,BOIS,4.0
ELPA,LSVN,2.0
ELPA,PNWG,3.0
ELPA,AMST,5.0
ELPA,JGI,3.0
ELPA,LLNL,2.0
ELPA,NREL,4.0
ELPA,BNL,6.0
ELPA,SNLL,3.0
ELPA,PPPL,4.0
ELPA,ANL,5.0
ELPA,SNLA,3.0
ELPA,FNAL,5.0
ELPA,SLAC,2.0
ELPA,NERSC,2.0
ELPA,PANTEX,2.0
ELPA,CERN-513,6.0
EASH,EASH,0.0
BOIS,DENV,1.0
BOIS,WASH,4.0
BOIS,SUNN,3.0
BOIS,STAR,4.0
BOIS,CHIC,3.0
BOIS,SACR,2.0
BOIS,AOFA,5.0
BOIS,HOUS,3.0
BOIS,NASH,4.0
BOIS,NEWY,6.0
BOIS,ALBQ,4.0
BOIS,LOND,4.0
BOIS,KANS,2.0
BOIS,BOST,5.0
BOIS,ELPA,4.0
BOIS,BOIS,0.0
BOIS,LSVN,2.0
BOIS,PNWG,1.0
BOIS,AMST,5.0
BOIS,JGI,3.0
BOIS,LLNL,4.0
